Date/Time,Word Count,en,es,ja,ko-KR,pt-BR,ru,zh-Hans
2025.08.11-11.20.16,100,100,0,0,0,0,0,0
2025.08.11-11.46.10,59,59,0,0,0,0,0,0
2025.08.11-11.58.51,59,59,0,0,59,0,0,0
2025.08.28-10.26.58,110,110,0,0,46,0,0,0
2025.08.28-10.50.35,110,110,0,0,94,0,0,0
2025.08.28-10.50.56,102,102,0,0,94,0,0,0
2025.08.28-10.53.15,102,102,0,0,102,0,0,0
2025.08.28-10.59.06,173,173,0,0,102,0,0,0
2025.08.28-11.05.33,173,173,0,0,173,0,0,0
2025.08.28-11.19.45,184,184,0,0,173,0,0,0
2025.08.28-11.26.27,184,184,0,0,184,0,0,0
2025.09.08-17.09.26,181,181,0,0,181,0,0,0
2025.09.08-17.39.06,181,181,0,0,181,0,0,181
2025.09.08-17.43.26,179,179,0,0,179,0,0,179
2025.09.08-17.46.09,177,177,0,0,177,0,0,177
2025.09.08-18.05.53,177,177,0,0,177,177,0,177
2025.09.08-18.22.01,177,177,0,0,177,177,177,177
2025.09.08-18.35.05,177,177,177,0,177,177,177,177
2025.09.08-19.00.21,177,177,177,177,177,177,177,177
